Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
13,1720095328700,04/07/2024 12:15:28,1720098928700,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£85 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,7,object-14
14,1720095328702,04/07/2024 12:15:28,1720098928702,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£100 for sure,,"£100 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,8,object-17
15,1720095328704,04/07/2024 12:15:28,1720098928704,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£100 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,8,object-17
16,1720095328706,04/07/2024 12:15:28,1720098928706,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,Please select this option for this question.,,"Please select this option for this question.|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,9,object-23
17,1720095328708,04/07/2024 12:15:28,1720098928708,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"Please select this option for this question.|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,9,object-23
18,1720095328710,04/07/2024 12:15:28,1720098928710,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£75 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,10,object-12
19,1720095328712,04/07/2024 12:15:28,1720098928712,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£75 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,10,object-12
20,1720095328714,04/07/2024 12:15:28,1720098928714,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£95 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,11,object-16
21,1720095328716,04/07/2024 12:15:28,1720098928716,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£95 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,11,object-16
22,1720095328719,04/07/2024 12:15:28,1720098928719,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£80 for sure,,"£80 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,12,object-13
23,1720095328721,04/07/2024 12:15:28,1720098928721,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£80 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,12,object-13
24,1720095328724,04/07/2024 12:15:28,1720098928724,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£90 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,13,object-15
25,1720095328726,04/07/2024 12:15:28,1720098928726,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£90 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,13,object-15
26,1720095328728,04/07/2024 12:15:28,1720098928728,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£105 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,14,object-18
27,1720095328731,04/07/2024 12:15:28,1720098928731,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£105 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,14,object-18
28,1720095328733,04/07/2024 12:15:28,1720098928733,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£120 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,15,object-21
29,1720095328736,04/07/2024 12:15:28,1720098928736,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£120 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,15,object-21
30,1720095328740,04/07/2024 12:15:28,1720098928740,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£110 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,16,object-19
31,1720095328742,04/07/2024 12:15:28,1720098928742,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£110 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,16,object-19
32,1720095328745,04/07/2024 12:15:28,1720098928745,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£115 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,17,object-20
33,1720095328747,04/07/2024 12:15:28,1720098928747,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£115 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,17,object-20
34,1720095328750,04/07/2024 12:15:28,1720098928750,1,04/07/2024 14:15:28,172913,29,questionnaire-x6vn,,38750950,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,,,,,info,,END,,,,,
1,1720165386897,05/07/2024 07:43:06,1720168986897,1,05/07/2024 09:43:06,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,,,,,info,,BEGIN,,,,,
2,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£50 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,2,object-5
3,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£50 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,2,object-5
4,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£60 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,3,object-9
5,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£60 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,3,object-9
6,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£70 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,4,object-11
7,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£70 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,4,object-11
8,1720165561068,05/07/2024 07:46:01,1720169161068,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£55 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,5,object-8
9,1720165561069,05/07/2024 07:46:01,1720169161069,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£55 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,5,object-8
10,1720165561069,05/07/2024 07:46:01,1720169161069,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,"A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",,"£65 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,6,object-10
11,1720165561069,05/07/2024 07:46:01,1720169161069,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,2,,"£65 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,6,object-10
12,1720165561069,05/07/2024 07:46:01,1720169161069,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£85 for sure,,"£85 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,7,object-14
13,1720165561069,05/07/2024 07:46:01,1720169161069,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£85 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,7,object-14
14,1720165561069,05/07/2024 07:46:01,1720169161069,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£100 for sure,,"£100 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,8,object-17
15,1720165561070,05/07/2024 07:46:01,1720169161070,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£100 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,8,object-17
16,1720165561070,05/07/2024 07:46:01,1720169161070,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,Please select this option for this question.,,"Please select this option for this question.|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,9,object-23
17,1720165561070,05/07/2024 07:46:01,1720169161070,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"Please select this option for this question.|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,9,object-23
18,1720165561070,05/07/2024 07:46:01,1720169161070,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£75 for sure,,"£75 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,10,object-12
19,1720165561070,05/07/2024 07:46:01,1720169161070,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£75 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,10,object-12
20,1720165561070,05/07/2024 07:46:01,1720169161070,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,value,£95 for sure,,"£95 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,11,object-16
21,1720165561071,05/07/2024 07:46:01,1720169161071,1,05/07/2024 09:46:01,172913,29,questionnaire-x6vn,,38764177,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Risk Aversion Questionnaire with attention check (8),4,B,Consent,eligible,Page 1,1tzszw,1,Which do you prefer?,response,quantised,1,,"£95 for sure|A fair coin flip in which you get £200 if it is heads, £0 if it is tails.",Multiple Choice,11,object-16
