Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: consent
4,1720165009349,05/07/2024 07:36:49,1720168609349,1,05/07/2024 09:36:49,172913,29,questionnaire-q2am,,38764087,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Consent Form New,7,B,Consent,eligible,,,,,info,,END,,,,,,
1,1720165030385,05/07/2024 07:37:10,1720168630385,1,05/07/2024 09:37:10,172913,29,questionnaire-q2am,,38764103,BLIND,11375531,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x783,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165070705,05/07/2024 07:37:50,1720168670705,1,05/07/2024 09:37:50,172913,29,questionnaire-q2am,,38764103,BLIND,11375531,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x783,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165070706,05/07/2024 07:37:50,1720168670706,1,05/07/2024 09:37:50,172913,29,questionnaire-q2am,,38764103,BLIND,11375531,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x783,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165070706,05/07/2024 07:37:50,1720168670706,1,05/07/2024 09:37:50,172913,29,questionnaire-q2am,,38764103,BLIND,11375531,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x783,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,END,,,,,,
1,1720165003085,05/07/2024 07:36:43,1720168603085,1,05/07/2024 09:36:43,172913,29,questionnaire-q2am,,38764085,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x724,,,0,Consent Form New,7,E,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165008432,05/07/2024 07:36:48,1720168608432,1,05/07/2024 09:36:48,172913,29,questionnaire-q2am,,38764085,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Consent Form New,7,E,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165008432,05/07/2024 07:36:48,1720168608432,1,05/07/2024 09:36:48,172913,29,questionnaire-q2am,,38764085,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Consent Form New,7,E,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165008433,05/07/2024 07:36:48,1720168608433,1,05/07/2024 09:36:48,172913,29,questionnaire-q2am,,38764085,BLIND,11375532,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x869,412x780,,,0,Consent Form New,7,E,Consent,eligible,,,,,info,,END,,,,,,
1,1720165228305,05/07/2024 07:40:28,1720168828305,1,05/07/2024 09:40:28,172913,29,questionnaire-q2am,,38764143,BLIND,11375533,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165263364,05/07/2024 07:41:03,1720168863364,1,05/07/2024 09:41:03,172913,29,questionnaire-q2am,,38764143,BLIND,11375533,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165263364,05/07/2024 07:41:03,1720168863364,1,05/07/2024 09:41:03,172913,29,questionnaire-q2am,,38764143,BLIND,11375533,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165263364,05/07/2024 07:41:03,1720168863364,1,05/07/2024 09:41:03,172913,29,questionnaire-q2am,,38764143,BLIND,11375533,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,END,,,,,,
1,1720165091801,05/07/2024 07:38:11,1720168691801,1,05/07/2024 09:38:11,172913,29,questionnaire-q2am,,38764113,BLIND,11375534,,complete,,,tablet,undefined K,Android 10,Chrome 126.0.0.0,1280x800,1280x626,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165098846,05/07/2024 07:38:18,1720168698846,1,05/07/2024 09:38:18,172913,29,questionnaire-q2am,,38764113,BLIND,11375534,,complete,,,tablet,undefined K,Android 10,Chrome 126.0.0.0,1280x800,1280x722,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165098846,05/07/2024 07:38:18,1720168698846,1,05/07/2024 09:38:18,172913,29,questionnaire-q2am,,38764113,BLIND,11375534,,complete,,,tablet,undefined K,Android 10,Chrome 126.0.0.0,1280x800,1280x722,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165098846,05/07/2024 07:38:18,1720168698846,1,05/07/2024 09:38:18,172913,29,questionnaire-q2am,,38764113,BLIND,11375534,,complete,,,tablet,undefined K,Android 10,Chrome 126.0.0.0,1280x800,1280x722,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,END,,,,,,
1,1720165028117,05/07/2024 07:37:08,1720168628117,1,05/07/2024 09:37:08,172913,29,questionnaire-q2am,,38764099,BLIND,11375537,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1024x768,1016x630,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165036193,05/07/2024 07:37:16,1720168636193,1,05/07/2024 09:37:16,172913,29,questionnaire-q2am,,38764099,BLIND,11375537,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1024x768,1016x630,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165036193,05/07/2024 07:37:16,1720168636193,1,05/07/2024 09:37:16,172913,29,questionnaire-q2am,,38764099,BLIND,11375537,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1024x768,1016x630,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165036194,05/07/2024 07:37:16,1720168636194,1,05/07/2024 09:37:16,172913,29,questionnaire-q2am,,38764099,BLIND,11375537,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 126.0.0.0,1024x768,1016x630,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,END,,,,,,
1,1720165312128,05/07/2024 07:41:52,1720168912128,1,05/07/2024 09:41:52,172913,29,questionnaire-q2am,,38764161,BLIND,11375545,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,F,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165328577,05/07/2024 07:42:08,1720168928577,1,05/07/2024 09:42:08,172913,29,questionnaire-q2am,,38764161,BLIND,11375545,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,F,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165328577,05/07/2024 07:42:08,1720168928577,1,05/07/2024 09:42:08,172913,29,questionnaire-q2am,,38764161,BLIND,11375545,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,F,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165328577,05/07/2024 07:42:08,1720168928577,1,05/07/2024 09:42:08,172913,29,questionnaire-q2am,,38764161,BLIND,11375545,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,390x844,390x663,,,0,Consent Form New,7,F,Consent,eligible,,,,,info,,END,,,,,,
1,1720165966567,05/07/2024 07:52:46,1720169566567,1,05/07/2024 09:52:46,172913,29,questionnaire-q2am,,38764290,BLIND,11375583,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2560x1440,2560x1305,,,0,Consent Form New,7,B,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720165970392,05/07/2024 07:52:50,1720169570392,1,05/07/2024 09:52:50,172913,29,questionnaire-q2am,,38764290,BLIND,11375583,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2560x1440,2560x1305,,,0,Consent Form New,7,B,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720165970392,05/07/2024 07:52:50,1720169570392,1,05/07/2024 09:52:50,172913,29,questionnaire-q2am,,38764290,BLIND,11375583,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2560x1440,2560x1305,,,0,Consent Form New,7,B,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720165970392,05/07/2024 07:52:50,1720169570392,1,05/07/2024 09:52:50,172913,29,questionnaire-q2am,,38764290,BLIND,11375583,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,2560x1440,2560x1305,,,0,Consent Form New,7,B,Consent,eligible,,,,,info,,END,,,,,,
1,1720166911706,05/07/2024 08:08:31,1720170511706,1,05/07/2024 10:08:31,172913,29,questionnaire-q2am,,38764512,BLIND,11375644,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x788,,,0,Consent Form New,7,E,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720166915671,05/07/2024 08:08:35,1720170515671,1,05/07/2024 10:08:35,172913,29,questionnaire-q2am,,38764512,BLIND,11375644,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x788,,,0,Consent Form New,7,E,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720166915671,05/07/2024 08:08:35,1720170515671,1,05/07/2024 10:08:35,172913,29,questionnaire-q2am,,38764512,BLIND,11375644,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x788,,,0,Consent Form New,7,E,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720166915671,05/07/2024 08:08:35,1720170515671,1,05/07/2024 10:08:35,172913,29,questionnaire-q2am,,38764512,BLIND,11375644,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,1440x788,,,0,Consent Form New,7,E,Consent,eligible,,,,,info,,END,,,,,,
1,1720166981391,05/07/2024 08:09:41,1720170581391,1,05/07/2024 10:09:41,172913,29,questionnaire-q2am,,38764531,BLIND,11375648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x863,,,0,Consent Form New,7,E,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720166985316,05/07/2024 08:09:45,1720170585316,1,05/07/2024 10:09:45,172913,29,questionnaire-q2am,,38764531,BLIND,11375648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x863,,,0,Consent Form New,7,E,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720166985316,05/07/2024 08:09:45,1720170585316,1,05/07/2024 10:09:45,172913,29,questionnaire-q2am,,38764531,BLIND,11375648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x863,,,0,Consent Form New,7,E,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720166985316,05/07/2024 08:09:45,1720170585316,1,05/07/2024 10:09:45,172913,29,questionnaire-q2am,,38764531,BLIND,11375648,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1280x1024,1280x863,,,0,Consent Form New,7,E,Consent,eligible,,,,,info,,END,,,,,,
1,1720167290518,05/07/2024 08:14:50,1720170890518,1,05/07/2024 10:14:50,172913,29,questionnaire-q2am,,38764643,BLIND,11375672,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,945x545,,,0,Consent Form New,7,A,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720167300352,05/07/2024 08:15:00,1720170900352,1,05/07/2024 10:15:00,172913,29,questionnaire-q2am,,38764643,BLIND,11375672,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,945x545,,,0,Consent Form New,7,A,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720167300352,05/07/2024 08:15:00,1720170900352,1,05/07/2024 10:15:00,172913,29,questionnaire-q2am,,38764643,BLIND,11375672,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,945x545,,,0,Consent Form New,7,A,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720167300352,05/07/2024 08:15:00,1720170900352,1,05/07/2024 10:15:00,172913,29,questionnaire-q2am,,38764643,BLIND,11375672,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 126.0.0.0,1440x900,945x545,,,0,Consent Form New,7,A,Consent,eligible,,,,,info,,END,,,,,,
1,1720167299800,05/07/2024 08:14:59,1720170899800,1,05/07/2024 10:14:59,172913,29,questionnaire-q2am,,38764650,BLIND,11375676,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1440x900,1440x749,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720167321243,05/07/2024 08:15:21,1720170921243,1,05/07/2024 10:15:21,172913,29,questionnaire-q2am,,38764650,BLIND,11375676,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1440x900,1440x749,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720167321243,05/07/2024 08:15:21,1720170921243,1,05/07/2024 10:15:21,172913,29,questionnaire-q2am,,38764650,BLIND,11375676,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1440x900,1440x749,,,0,Consent Form New,7,C,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720167321243,05/07/2024 08:15:21,1720170921243,1,05/07/2024 10:15:21,172913,29,questionnaire-q2am,,38764650,BLIND,11375676,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1440x900,1440x749,,,0,Consent Form New,7,C,Consent,eligible,,,,,info,,END,,,,,,
1,1720167532443,05/07/2024 08:18:52,1720171132443,1,05/07/2024 10:18:52,172913,29,questionnaire-q2am,,38764739,BLIND,11375695,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720167595797,05/07/2024 08:19:55,1720171195797,1,05/07/2024 10:19:55,172913,29,questionnaire-q2am,,38764739,BLIND,11375695,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720167595797,05/07/2024 08:19:55,1720171195797,1,05/07/2024 10:19:55,172913,29,questionnaire-q2am,,38764739,BLIND,11375695,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Consent Form New,7,D,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
4,1720167595797,05/07/2024 08:19:55,1720171195797,1,05/07/2024 10:19:55,172913,29,questionnaire-q2am,,38764739,BLIND,11375695,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x911,,,0,Consent Form New,7,D,Consent,eligible,,,,,info,,END,,,,,,
1,1720167553010,05/07/2024 08:19:13,1720171153010,1,05/07/2024 10:19:13,172913,29,questionnaire-q2am,,38764746,BLIND,11375696,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x786,,,0,Consent Form New,7,F,Consent,eligible,,,,,info,,BEGIN,,,,,,
2,1720167556293,05/07/2024 08:19:16,1720171156293,1,05/07/2024 10:19:16,172913,29,questionnaire-q2am,,38764746,BLIND,11375696,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x842,,,0,Consent Form New,7,F,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation,consent,,participation,Consent Form,2,object-3,consent
3,1720167556294,05/07/2024 08:19:16,1720171156294,1,05/07/2024 10:19:16,172913,29,questionnaire-q2am,,38764746,BLIND,11375696,,complete,,,mobile,undefined K,Android 10,Chrome 126.0.0.0,412x915,412x842,,,0,Consent Form New,7,F,Consent,eligible,Page 1,gy3par,1,**I consent to items 1-10 above**,response,participation-quantised,1,,participation,Consent Form,2,object-3,consent
