Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,randomiser-m3e1,branch-sizd,branch-yuxs,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: age,Store: disorders,Store: treatments,Store: oversea,Store: English
11,1720094741344,04/07/2024 12:05:41,1720098341344,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,English-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
12,1720094741346,04/07/2024 12:05:41,1720098341346,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,,response,English-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
13,1720094741351,04/07/2024 12:05:41,1720098341351,1,04/07/2024 14:05:41,172913,29,questionnaire-y2w6,,38750619,BLIND,11371842,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 125.0.0.0,1366x768,1358x654,,,0,Demographic New,7,B,Consent,eligible,,,,,info,,END,,,,,,,,,,
1,1720094621034,04/07/2024 12:03:41,1720098221034,1,04/07/2024 14:03:41,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,,
2,1720094645132,04/07/2024 12:04:05,1720098245132,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,value,Female,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
3,1720094645132,04/07/2024 12:04:05,1720098245132,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,quantised,2,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
4,1720094645132,04/07/2024 12:04:05,1720098245132,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,What is your age?,response,value,45,,,Age Entry,3,object-8,,0,0,0,1
5,1720094645133,04/07/2024 12:04:05,1720098245133,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,treatment-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
6,1720094645133,04/07/2024 12:04:05,1720098245133,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,treatment-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
7,1720094645134,04/07/2024 12:04:05,1720098245134,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
8,1720094645134,04/07/2024 12:04:05,1720098245134,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
9,1720094645134,04/07/2024 12:04:05,1720098245134,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,UK-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
10,1720094645139,04/07/2024 12:04:05,1720098245139,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,UK-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
11,1720094645139,04/07/2024 12:04:05,1720098245139,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,English-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
12,1720094645139,04/07/2024 12:04:05,1720098245139,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,Page 1,832lxi,1,,response,English-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
13,1720094645140,04/07/2024 12:04:05,1720098245140,1,04/07/2024 14:04:05,172913,29,questionnaire-y2w6,,38750579,BLIND,11371844,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 126.0.0.0,1920x1080,1920x919,,,0,Demographic New,7,C,Consent,eligible,,,,,info,,END,,,,,,,,,,
1,1720094912646,04/07/2024 12:08:32,1720098512646,1,04/07/2024 14:08:32,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,,
2,1720094921976,04/07/2024 12:08:41,1720098521976,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,value,Male,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
3,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,quantised,1,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
4,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,What is your age?,response,value,34,,,Age Entry,3,object-8,,0,0,0,1
5,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,treatment-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
6,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,treatment-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
7,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-consent,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
8,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,diagnosed-reject,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
9,1720094921977,04/07/2024 12:08:41,1720098521977,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,UK-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
10,1720094921979,04/07/2024 12:08:41,1720098521979,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,UK-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
11,1720094921979,04/07/2024 12:08:41,1720098521979,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,English-consent,1,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
12,1720094921980,04/07/2024 12:08:41,1720098521980,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,Page 1,832lxi,1,,response,English-reject,0,,treatment|diagnosed|UK|English,Consent Form,4,object-6,,0,0,0,1
13,1720094921980,04/07/2024 12:08:41,1720098521980,1,04/07/2024 14:08:41,172913,29,questionnaire-y2w6,,38750740,BLIND,11371872,,complete,,,computer,Desktop or Laptop,Ubuntu undefined,Firefox 127.0,1920x1080,1920x934,,,0,Demographic New,7,A,Consent,eligible,,,,,info,,END,,,,,,,,,,
1,1720165012272,05/07/2024 07:36:52,1720168612272,1,05/07/2024 09:36:52,172913,29,questionnaire-y2w6,,38764093,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,B,Consent,eligible,,,,,info,,BEGIN,,,,,,,,,,
2,1720165025823,05/07/2024 07:37:05,1720168625823,1,05/07/2024 09:37:05,172913,29,questionnaire-y2w6,,38764093,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,value,Male,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
3,1720165025824,05/07/2024 07:37:05,1720168625824,1,05/07/2024 09:37:05,172913,29,questionnaire-y2w6,,38764093,BLIND,11375529,,complete,,,mobile,Apple iPhone,iOS 17.5.1,Mobile Safari 17.5,414x896,414x714,,,0,Demographic New,7,B,Consent,eligible,Page 1,832lxi,1,What is your gender?,response,quantised,1,,Male|Female|Prefer not say,Multiple Choice,2,object-2,,0,0,0,1
