trial_number,block_number,payoff,response,left,right,payoff_left,payoff_right,context,arms,choice,trial,value_left,value_right,IIU,PIU,IU,IM,Anx,ID
12,6,3,Left,**R**,**S**,3,2,Win,SR,1,12,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
13,8,6,Right,**S**,**R**,4,6,Win,SR,2,1,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
14,8,5,Right,**S**,**R**,4,5,Win,SR,2,2,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
15,8,2,Right,**S**,**R**,4,2,Win,SR,2,3,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
16,8,4,Left,**S**,**R**,4,4,Win,SR,1,4,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
17,8,4,Left,**S**,**R**,4,5,Win,SR,1,5,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
18,8,4,Left,**S**,**R**,4,4,Win,SR,1,6,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
19,8,4,Left,**S**,**R**,4,3,Win,SR,1,7,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
20,8,3,Right,**S**,**R**,4,3,Win,SR,2,8,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
21,8,4,Right,**S**,**R**,4,4,Win,SR,2,9,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
22,8,7,Right,**S**,**R**,4,7,Win,SR,2,10,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
23,8,4,Left,**S**,**R**,4,4,Win,SR,1,11,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
24,8,1,Right,**S**,**R**,4,1,Win,SR,2,12,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
25,10,7,Right,**S**,**R**,6,7,Win,SR,2,1,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
26,10,2,Right,**S**,**R**,6,2,Win,SR,2,2,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
27,10,6,Left,**S**,**R**,6,5,Win,SR,1,3,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
28,10,6,Left,**S**,**R**,6,6,Win,SR,1,4,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
29,10,6,Left,**S**,**R**,6,4,Win,SR,1,5,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
30,10,6,Left,**S**,**R**,6,4,Win,SR,1,6,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
31,10,6,Left,**S**,**R**,6,3,Win,SR,1,7,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
32,10,6,Left,**S**,**R**,6,1,Win,SR,1,8,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
33,10,6,Left,**S**,**R**,6,5,Win,SR,1,9,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
34,10,6,Left,**S**,**R**,6,4,Win,SR,1,10,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
35,10,6,Left,**S**,**R**,6,3,Win,SR,1,11,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
36,10,6,Left,**S**,**R**,6,4,Win,SR,1,12,6,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
37,18,5,Left,**r**,**R**,5,7,Win,rR,1,1,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
38,18,4,Right,**r**,**R**,4,4,Win,rR,2,2,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
39,18,4,Right,**r**,**R**,4,4,Win,rR,2,3,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
40,18,3,Right,**r**,**R**,3,3,Win,rR,2,4,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
41,18,4,Left,**r**,**R**,4,5,Win,rR,1,5,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
42,18,4,Left,**r**,**R**,4,4,Win,rR,1,6,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
43,18,5,Left,**r**,**R**,5,6,Win,rR,1,7,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
44,18,5,Right,**r**,**R**,5,5,Win,rR,2,8,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
45,18,4,Right,**r**,**R**,4,4,Win,rR,2,9,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
46,18,3,Right,**r**,**R**,4,3,Win,rR,2,10,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
47,18,1,Right,**r**,**R**,3,1,Win,rR,2,11,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
48,18,2,Right,**r**,**R**,3,2,Win,rR,2,12,4,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
49,14,-7,Left,**R**,**r**,-7,-4,Lose,rR,1,1,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
50,14,-2,Right,**R**,**r**,-2,-2,Lose,rR,2,2,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
51,14,-2,Right,**R**,**r**,-3,-2,Lose,rR,2,3,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
52,14,-3,Right,**R**,**r**,-4,-3,Lose,rR,2,4,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
53,14,-4,Right,**R**,**r**,-6,-4,Lose,rR,2,5,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
54,14,-3,Right,**R**,**r**,-4,-3,Lose,rR,2,6,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
55,14,-4,Right,**R**,**r**,-5,-4,Lose,rR,2,7,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
56,14,-4,Left,**R**,**r**,-4,-3,Lose,rR,1,8,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
57,14,-3,Right,**R**,**r**,-4,-3,Lose,rR,2,9,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
58,14,-3,Right,**R**,**r**,-5,-3,Lose,rR,2,10,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
59,14,-3,Right,**R**,**r**,-3,-3,Lose,rR,2,11,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
60,14,-2,Right,**R**,**r**,-1,-2,Lose,rR,2,12,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
61,9,5,Left,**S**,**R**,5,4,Win,SR,1,1,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
62,9,7,Right,**S**,**R**,5,7,Win,SR,2,2,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
63,9,4,Right,**S**,**R**,5,4,Win,SR,2,3,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
64,9,5,Left,**S**,**R**,5,6,Win,SR,1,4,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
65,9,5,Left,**S**,**R**,5,2,Win,SR,1,5,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
66,9,5,Left,**S**,**R**,5,4,Win,SR,1,6,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
67,9,5,Left,**S**,**R**,5,4,Win,SR,1,7,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
68,9,5,Left,**S**,**R**,5,1,Win,SR,1,8,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
69,9,3,Right,**S**,**R**,5,3,Win,SR,2,9,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
70,9,3,Right,**S**,**R**,5,3,Win,SR,2,10,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
71,9,5,Right,**S**,**R**,5,5,Win,SR,2,11,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
72,9,5,Left,**S**,**R**,5,5,Win,SR,1,12,5,4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
73,11,-6,Left,**r**,**R**,-6,-4,Lose,rR,1,1,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
74,11,-5,Left,**r**,**R**,-5,-2,Lose,rR,1,2,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
75,11,-6,Left,**r**,**R**,-6,-3,Lose,rR,1,3,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
76,11,-4,Right,**r**,**R**,-6,-4,Lose,rR,2,4,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
77,11,-6,Left,**r**,**R**,-6,-5,Lose,rR,1,5,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
78,11,-3,Right,**r**,**R**,-5,-3,Lose,rR,2,6,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
79,11,-6,Right,**r**,**R**,-7,-6,Lose,rR,2,7,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
80,11,-4,Right,**r**,**R**,-6,-4,Lose,rR,2,8,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
81,11,-6,Left,**r**,**R**,-6,-4,Lose,rR,1,9,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
82,11,-5,Left,**r**,**R**,-5,-1,Lose,rR,1,10,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
83,11,-7,Left,**r**,**R**,-7,-5,Lose,rR,1,11,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
84,11,-7,Left,**r**,**R**,-7,-7,Lose,rR,1,12,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
85,16,3,Left,**R**,**r**,3,2,Win,rR,1,1,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
86,16,2,Right,**R**,**r**,4,2,Win,rR,2,2,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
87,16,3,Left,**R**,**r**,3,1,Win,rR,1,3,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
88,16,4,Left,**R**,**r**,4,2,Win,rR,1,4,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
89,16,4,Left,**R**,**r**,4,2,Win,rR,1,5,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
90,16,4,Left,**R**,**r**,4,2,Win,rR,1,6,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
91,16,7,Left,**R**,**r**,7,3,Win,rR,1,7,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
92,16,6,Left,**R**,**r**,6,3,Win,rR,1,8,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
93,16,1,Left,**R**,**r**,1,1,Win,rR,1,9,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
94,16,5,Left,**R**,**r**,5,3,Win,rR,1,10,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
95,16,5,Left,**R**,**r**,5,2,Win,rR,1,11,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
96,16,2,Left,**R**,**r**,2,1,Win,rR,1,12,4,2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
97,5,-2,Right,**R**,**S**,-1,-2,Lose,SR,2,1,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
98,5,-2,Right,**R**,**S**,-6,-2,Lose,SR,2,2,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
99,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,3,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
100,5,-2,Right,**R**,**S**,-3,-2,Lose,SR,2,4,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
101,5,-2,Right,**R**,**S**,-5,-2,Lose,SR,2,5,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
102,5,-2,Right,**R**,**S**,-7,-2,Lose,SR,2,6,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
103,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,7,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
104,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,8,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
105,5,-2,Right,**R**,**S**,-5,-2,Lose,SR,2,9,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
106,5,-2,Right,**R**,**S**,-3,-2,Lose,SR,2,10,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
107,5,-2,Right,**R**,**S**,-2,-2,Lose,SR,2,11,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
108,5,-2,Right,**R**,**S**,-4,-2,Lose,SR,2,12,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
109,2,-5,Right,**R**,**S**,-1,-5,Lose,SR,2,1,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
110,2,-5,Right,**R**,**S**,-6,-5,Lose,SR,2,2,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
111,2,-5,Right,**R**,**S**,-5,-5,Lose,SR,2,3,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
112,2,-5,Right,**R**,**S**,-7,-5,Lose,SR,2,4,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
113,2,-4,Left,**R**,**S**,-4,-5,Lose,SR,1,5,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
114,2,-2,Left,**R**,**S**,-2,-5,Lose,SR,1,6,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
115,2,-3,Left,**R**,**S**,-3,-5,Lose,SR,1,7,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
116,2,-5,Right,**R**,**S**,-5,-5,Lose,SR,2,8,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
117,2,-5,Right,**R**,**S**,-4,-5,Lose,SR,2,9,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
118,2,-5,Right,**R**,**S**,-4,-5,Lose,SR,2,10,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
119,2,-3,Left,**R**,**S**,-3,-5,Lose,SR,1,11,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
120,2,-4,Left,**R**,**S**,-4,-5,Lose,SR,1,12,-4,-5,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
121,15,-3,Right,**R**,**r**,-7,-3,Lose,rR,2,1,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
122,15,-2,Right,**R**,**r**,-3,-2,Lose,rR,2,2,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
123,15,-3,Right,**R**,**r**,-5,-3,Lose,rR,2,3,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
124,15,-2,Right,**R**,**r**,-5,-2,Lose,rR,2,4,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
125,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,5,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
126,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,6,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
127,15,-1,Right,**R**,**r**,-2,-1,Lose,rR,2,7,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
128,15,-3,Right,**R**,**r**,-6,-3,Lose,rR,2,8,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
129,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,9,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
130,15,-2,Right,**R**,**r**,-4,-2,Lose,rR,2,10,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
131,15,-1,Right,**R**,**r**,-3,-1,Lose,rR,2,11,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
132,15,-1,Right,**R**,**r**,-1,-1,Lose,rR,2,12,-4,-2,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
133,4,-3,Right,**R**,**S**,-4,-3,Lose,SR,2,1,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
134,4,-3,Left,**R**,**S**,-3,-3,Lose,SR,1,2,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
135,4,-3,Left,**R**,**S**,-3,-3,Lose,SR,1,3,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
136,4,-7,Left,**R**,**S**,-7,-3,Lose,SR,1,4,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
137,4,-4,Left,**R**,**S**,-4,-3,Lose,SR,1,5,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
138,4,-3,Right,**R**,**S**,-4,-3,Lose,SR,2,6,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
139,4,-3,Right,**R**,**S**,-1,-3,Lose,SR,2,7,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
140,4,-3,Right,**R**,**S**,-6,-3,Lose,SR,2,8,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
141,4,-3,Right,**R**,**S**,-4,-3,Lose,SR,2,9,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
142,4,-3,Right,**R**,**S**,-2,-3,Lose,SR,2,10,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
143,4,-3,Right,**R**,**S**,-5,-3,Lose,SR,2,11,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
144,4,-3,Right,**R**,**S**,-5,-3,Lose,SR,2,12,-4,-3,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
145,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,1,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
146,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,2,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
147,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,3,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
148,3,-4,Left,**S**,**R**,-4,-3,Lose,SR,1,4,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
149,3,-4,Left,**S**,**R**,-4,-5,Lose,SR,1,5,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
150,3,-4,Left,**S**,**R**,-4,-3,Lose,SR,1,6,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
151,3,-4,Left,**S**,**R**,-4,-5,Lose,SR,1,7,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
152,3,-4,Left,**S**,**R**,-4,-7,Lose,SR,1,8,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
153,3,-6,Right,**S**,**R**,-4,-6,Lose,SR,2,9,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
154,3,-2,Right,**S**,**R**,-4,-2,Lose,SR,2,10,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
155,3,-4,Left,**S**,**R**,-4,-4,Lose,SR,1,11,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
156,3,-4,Left,**S**,**R**,-4,-1,Lose,SR,1,12,-4,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
157,1,-6,Left,**S**,**R**,-6,-4,Lose,SR,1,1,-6,-4,-0.29409940581538674,-0.7288068563000624,-0.6517703085845489,1.128027688619212,-0.20830199519567816,1
